element_id,equipment_id,element_name,ref_no
10001,9001,Drive System,CONV-DS
10002,9001,Conveyor Belt Assembly,CONV-BELT
10003,9001,Roller Assembly,CONV-ROLL
10004,9001,Electrical Control Unit,CONV-ECU
10005,9002,Stator Assembly,MOT-STA
10006,9002,Rotor Assembly,MOT-ROT
10007,9002,Cooling Fan,MOT-FAN
10008,9002,Terminal Box,MOT-TBOX
10009,9003,Nozzle Assembly,FILL-NZ
10010,9003,Pneumatic Cylinder,FILL-PC
10011,9003,Drive Mechanism,FILL-DM
10012,9003,PLC Control Unit,FILL-PLC
10013,9003,Hopper Tank,FILL-HT
10014,9004,Label Dispenser,LAB-DISP
10015,9004,Drive Motor,LAB-MOT
10016,9004,Sensor System,LAB-SENS
10017,9004,Control Panel,LAB-CP
10018,9005,PLC Module,CP-PLC
10019,9005,Power Supply Unit,CP-PSU
10020,9005,Circuit Breakers,CP-CB
10021,9005,Relay Board,CP-RLY
10022,9006,Camera Module,CAM-MOD
10023,9006,Lighting Unit,CAM-LIGHT
10024,9006,Image Processor,CAM-IP
10025,9006,Mounting Frame,CAM-FR
10026,9007,Input Shaft,GB-IN
10027,9007,Gear Train,GB-GEAR
10028,9007,Lubrication System,GB-LUBE
10029,9007,Output Shaft,GB-OUT
10030,9012,Load Cell,WS-LC
10031,9012,Display Unit,WS-DIS
10032,9012,Control PCB,WS-PCB
10033,9012,Platform Assembly,WS-PLAT
