schedule_execution_id,task_schedule_id,employee_id,assigned_dttm,due_date,status,completed_dttm,time_taken,actual_value,deviation_flag,reschedule_flag,notes
130001,90001,205,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:20,15,2.4,FALSE,FALSE,Vibration normal
130002,90002,210,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 9:00,22,,FALSE,FALSE,Shaft OK
130003,90003,207,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:15,10,63,FALSE,FALSE,Temp stable
130004,90004,211,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 9:00,28,,FALSE,FALSE,Lubricated
130005,90005,205,2/1/2026 8:00,2/1/2026,IN-PROGRESS,,,,,FALSE,Alignment checking
130006,90006,210,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Annual planned
130007,90007,211,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:30,12,,FALSE,FALSE,Bolts tight
130008,90008,210,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 9:30,25,,FALSE,FALSE,Replaced bolts
130009,90009,211,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:10,10,,FALSE,FALSE,Belt OK
130010,90010,210,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Yearly task
130011,90011,211,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:15,8,,FALSE,FALSE,Roller smooth
130012,90012,210,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:40,20,,FALSE,FALSE,Greased
130013,90013,208,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:20,14,23.9,FALSE,FALSE,Voltage OK
130014,90014,209,2/1/2026 8:00,2/1/2026,IN-PROGRESS,,,,,FALSE,Cleaning
130015,90015,210,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:20,10,,FALSE,FALSE,Frame good
130016,90016,211,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Annual planned
130017,90017,208,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:25,20,,FALSE,FALSE,Contact fine
130018,90018,209,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:20,15,23.5,FALSE,FALSE,Voltage stable
130019,90019,208,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:15,10,,FALSE,FALSE,Insulation OK
130020,90020,209,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Annual replace
130021,90021,208,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:10,9,,FALSE,FALSE,Fuse OK
130022,90022,209,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:20,12,,FALSE,FALSE,Fuse replaced
130023,90023,208,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:15,12,,FALSE,FALSE,Fan cleaned
130024,90024,209,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:10,8,,FALSE,FALSE,Rotation fine
130025,90025,205,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:10,10,,FALSE,FALSE,No clogging
130026,90026,207,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:40,30,,FALSE,FALSE,Cleaned
130027,90027,210,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:15,10,,FALSE,FALSE,Seal good
130028,90028,211,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Annual seal
130029,90029,205,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:25,18,98,FALSE,FALSE,Flow normal
130030,90030,208,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 9:00,35,100,FALSE,FALSE,Calibrated
130031,90031,210,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:10,9,,FALSE,FALSE,Clamp tight
130032,90032,211,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Yearly replace
130033,90033,208,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:10,8,,FALSE,FALSE,PLC OK
130034,90034,209,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:35,28,,FALSE,FALSE,Backup done
130035,90035,208,2/1/2026 8:00,2/1/2026,APPROVAL_PENDING,2/1/2026 8:20,18,,FALSE,FALSE,I/O OK
130036,90036,209,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Yearly replace
130037,90037,208,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:15,14,,FALSE,FALSE,Relay fine
130038,90038,209,2/1/2026 8:00,2/1/2026,ASSIGNED,,,,,FALSE,Annual relay
130039,90039,210,2/1/2026 8:00,2/1/2026,APPROVED,2/1/2026 8:10,8,,FALSE,FALSE,Rail OK
130040,90040,211,2/1/2026 8:00,2/1/2026,REJECTED,2/1/2026 8:30,15,,TRUE,TRUE,Improper tightening
